koi_period,koi_duration,koi_depth,koi_model_snr,koi_prad,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_impact,koi_steff,koi_slogg,koi_srad,koi_period_err1,koi_depth_err1,koi_duration_err1,label
16.3297527,6.271,1187.5,74.6,3.75,1.0,0,0,0,0,0.791,5878.0,4.444,0.987,3.611e-05,18.1,0.112,transit
27.807566216,4.21587,25391.0,748.1,13.84,0.985,0,0,0,0,0.782,5862.0,4.584,0.785,4.747e-06,47.3,0.00935,transit
80.8723469,11.195,3604.6,160.9,7.59,0.942,0,0,0,0,0.527,5510.0,4.222,1.238,0.0001468,25.9,0.13,transit
3.166465862,2.9381,4357.2,122.1,26.82,0.0,0,1,1,0,1.266,4968.0,4.575,0.704,2.222e-06,44.4,0.0327,eclipsing_binary
24.99324319,5.9409,269.6,62.0,2.29,0.912,0,0,0,0,0.686,5718.0,4.181,1.317,6.127e-05,4.9,0.0669,transit
10.35533116,3.1775,750.6,49.2,2.47,1.0,0,0,0,0,0.029,5501.0,4.462,0.918,2.087e-05,17.4,0.0602,transit
16.08518937,3.984,1442.4,62.6,3.68,1.0,0,0,0,0,0.867,5239.0,4.523,0.826,3.022e-05,26.7,0.0875,transit
235.9986399,8.2284,20715.0,271.8,10.59,0.998,0,0,0,0,0.778,4245.0,4.627,0.657,0.0002773,91.7,0.0606,candidate
7.49018305,2.7297,1123.6,53.0,2.56,1.0,0,0,0,0,0.02,5103.0,4.562,0.787,1.181e-05,22.7,0.0424,transit
36.2761238,4.7865,1572.6,45.5,3.03,1.0,0,0,0,0,0.035,5103.0,4.562,0.787,0.0001055,35.5,0.0756,transit
17.46087931,2.2641,812.4,22.6,2.32,1.0,0,0,0,0,0.594,5103.0,4.562,0.787,5.278e-05,38.3,0.0721,transit
56.0560754,4.685,1626.0,27.4,1.94,0.996,0,0,0,0,0.018,3593.0,4.757,0.491,0.0002753,66.7,0.132,transit
41.408316686,5.0264,22839.0,907.8,11.38,0.974,0,0,0,0,0.377,5522.0,4.586,0.747,6.58e-06,31.4,0.0136,transit
39.74893077,7.3051,15179.0,561.1,14.21,0.994,0,0,0,0,0.881,6122.0,4.487,0.964,1.554e-05,44.1,0.0213,candidate
5.715425977,2.5242,908.1,59.4,2.47,1.0,0,0,0,0,0.348,5237.0,4.572,0.826,7.779e-06,17.4,0.0418,transit
49.18394185,11.3364,1646.2,355.7,8.2,0.959,0,0,0,0,0.035,5626.0,3.907,2.057,2.475e-05,5.4,0.051,transit
20.0261412,1.611,421.2,10.7,2.28,0.994,0,0,0,0,0.957,5237.0,4.572,0.826,0.0001272,60.7,0.195,transit
13.61014819,2.594,5732.9,184.1,19.02,0.0,0,1,0,0,1.081,5697.0,4.46,0.903,5.969e-06,38.1,0.0194,eclipsing_binary
10.44331991,2.743,1159.8,51.7,2.66,0.0,0,1,1,1,0.23,4947.0,4.516,0.802,2.287e-05,64.2,0.505,eclipsing_binary
2.237489571,1.8119,315.8,30.7,1.41,1.0,0,0,0,0,0.128,5265.0,4.58,0.81,5.022e-06,11.8,0.0554,transit
5.851520671,3.11058,33004.0,1630.4,14.62,0.0,0,1,0,0,0.211,5532.0,4.53,0.806,3.31e-07,26.1,0.00627,eclipsing_binary
3.167893418,2.1814,781.2,64.8,2.62,1.0,0,0,0,0,0.026,5895.0,4.503,0.94,3.869e-06,14.3,0.0324,transit
4.311780262,2.7251,1154.0,86.1,3.11,1.0,0,0,0,0,0.196,5527.0,4.484,0.927,4.342e-06,15.0,0.0314,transit
