TIC ID,TFOPWG Disposition
15692883,CP
411608801,CP
431148743,FP
384045439,FP
371673488,FP
316402246,FP
414870287,FP
377420580,FP
329145325,FP
410528770,FP
428065977,FP
326114850,FP
331034236,FP
64836837,FP
430677414,FP
415741431,FP
272828463,FP
377739433,FP
376682699,FP
434718964,FP
269509393,FP
270238522,FP
470709084,FP
376637093,CP
455962313,FP
427761355,CP
272049972,FP
269238073,FP
366074069,FP
367102581,FP
387413037,FP
314338017,FP
276380902,FP
313761775,FP
202375913,PC
285543785,APC
312259170,FP
312469860,FP
312678993,APC
327579226,PC
345143460,PC
345143460,PC
354600221,FP
420288086,FP
445137888,FP
173612049,PC
177244357,PC
252636888,FP
318746829,FP
319068154,FP
367607434,FA
431585347,FP
455791689,PC
127425841,FP
194203348,PC
409520860,FP
440100539,FA
191146556,FP
241065596,FP
288348498,PC
326919774,FP
327341626,APC
299158887,KP
441732151,FP
405794804,FP
320506985,FP
117322779,FP
241040309,PC
241076290,PC
245462406,FP
249862365,FP
249945230,PC
250724252,APC
251384275,PC
256414077,FP
259151170,FP
284050395,FP
285666479,FP
285674856,FP
285677945,FP
292321872,FP
302773669,KP
307111282,FP
316254876,FP
327011842,FP
332154944,FP
348135793,FP
354400186,FP
354469661,KP
370759867,FP
374400599,FP
403256331,FP
418987806,FP
444415148,FP
445144327,PC
458914949,FP
50120414,PC
52041724,FP
71854745,FP
82010657,FP
186599508,FP
192372961,FP
201154493,FP
385105624,FP
431899140,FP
68152139,FP
67418624,PC
129979528,KP
187029841,FP
139375960,CP
129991079,FA
73448352,KP
118301361,FP
101037590,CP
125735470,APC
26433869,FP
138017750,FP
229951289,FA
219776325,PC
264678534,CP
268403451,KP
272625214,FP
317397615,FP
317507345,FP
322054600,PC
322202434,FP
376838000,FP
377144784,FP
378291076,PC
387260717,PC
388076005,FP
407394748,FP
461387302,FP
470852531,FP
284475976,KP
310003988,KP
317597583,CP
29054413,APC
51024887,FP
165551882,FA
201186294,CP
230086768,FP
269892793,FP
286355915,FP
312862941,PC
348673213,FP
396562848,CP
422923265,PC
229940491,APC
298647682,PC
22843856,FP
184679932,FP
387527558,FA
154927364,FP
376353509,CP
116608612,FP
122485078,FP
138168780,KP
154867950,FP
156724719,PC
258829450,PC
266500992,PC
267694283,APC
27677846,FP
286561122,FP
288631580,CP
288631580,PC
311121985,FP
312122956,FP
339538183,FP
353367071,FP
353782445,PC
354006740,FP
368536386,FP
409183335,FP
417705690,FP
428679607,CP
441739020,CP
441739020,CP
441739020,PC
459903429,FA
468828873,FP
470315428,FP
73104318,FP
81831095,PC
8400842,KP
87090944,PC
96291218,FP
9837861,FP
259168516,CP
321041369,PC
367366318,KP
